
Network Stats for the last 15452 seconds:

Total Sent Spatial Packets: 6611121
Total Requested to Send Spatial Packets: 11437177
Total Sent Actor Motion Hints Packets: 97322
Percentage of Usual Bandwidth Used: 58.35%


Total Sent: 10324750, 0B (212.79MB)
43  SetSpawnPositionPacket            412B, Num 24, Avg 17B
6   ResourcePacksInfoPacket           280B, Num 10, Avg 28B
142 CompletedUsingItemPacket          160B, Num 20, Avg 8B
7   ResourcePackStackPacket           120B, Num 10, Avg 12B
143 NetworkSettingsPacket             120B, Num 10, Avg 12B
151 UpdatePlayerGameTypePacket        118B, Num 12, Avg 9B
188 UpdateAdventureSettingsPacket     112B, Num 16, Avg 7B
2   PlayStatusPacket                  100B, Num 20, Avg 5B
189 DeathInfoPacket                   89B, Num 2, Avg 44B
176 PlayerStartItemCooldownPacket     84B, Num 4, Avg 21B
61  ChangeDimensionPacket             72B, Num 4, Avg 18B
307 SetPlayerInventoryOptionsPacket   70B, Num 10, Avg 7B
36  PlayerActionPacket                44B, Num 4, Avg 11B
160 PlayerFogPacket                   30B, Num 10, Avg 3B
42  SetHealthPacket                   24B, Num 12, Avg 2B
70  ChunkRadiusUpdatedPacket          22B, Num 11, Avg 2B
60  SetDifficultyPacket               20B, Num 10, Avg 2B
59  SetCommandsEnabledPacket          20B, Num 10, Avg 2B

Total Received: 520201, 0B (51.68MB)
144 PlayerAuthInputPacket             39.39MB, Num 428710, Avg 96B
1   LoginPacket                       9.29MB, Num 10, Avg 0.93MB
135 ClientCacheBlobStatusPacket       0.98MB, Num 7580, Avg 136B
30  InventoryTransactionPacket        0.64MB, Num 6832, Avg 97B
175 SubChunkRequestPacket             0.61MB, Num 6516, Avg 98B
31  MobEquipmentPacket                315.62KB, Num 4756, Avg 67B
44  AnimatePacket                     211.96KB, Num 54912, Avg 3B
33  InteractPacket                    112.69KB, Num 7512, Avg 15B
68  MapInfoRequestPacket              96.04KB, Num 4, Avg 24.01KB
147 ItemStackRequestPacket            29.70KB, Num 943, Avg 32B
36  PlayerActionPacket                18.22KB, Num 1282, Avg 14B
34  BlockPickRequestPacket            2.24KB, Num 265, Avg 8B
47  ContainerClosePacket              1.77KB, Num 452, Avg 4B
35  ActorPickRequestPacket            1.67KB, Num 155, Avg 11B
27  ActorEventPacket                  1.10KB, Num 142, Avg 7B
152 EmoteListPacket                   344B, Num 5, Avg 68B
312 ServerboundLoadingScreenPacket    112B, Num 24, Avg 4B
141 AnvilDamagePacket                 104B, Num 13, Avg 8B
307 SetPlayerInventoryOptionsPacket   98B, Num 14, Avg 7B
8   ResourcePackClientResponsePacket  80B, Num 20, Avg 4B
193 RequestNetworkSettingsPacket      60B, Num 10, Avg 6B
69  RequestChunkRadiusPacket          33B, Num 11, Avg 3B
45  RespawnPacket                     32B, Num 2, Avg 16B
129 ClientCacheStatusPacket           30B, Num 10, Avg 3B
113 SetLocalPlayerAsInitializedPacket 29B, Num 10, Avg 2B
4   ClientToServerHandshakePacket     10B, Num 10, Avg 1B
102 ServerSettingsRequestPacket       1B, Num 1, Avg 1B

